# target               , alias                         , type                          , RA        , Dec       
PCCS2 143 G301.62+37.06, QSO J1246-2547                , Quasar                        ,   191.7029,   -25.7904
PCCS2 143 G304.15-72.18, 2MASX J00491665-4457110       , Quasar                        ,    12.3292,   -44.9365
PCCS2 143 G305.09+57.06, 3C 279                        , Quasar                        ,   194.0410,    -5.7917
PCCS2 143 G308.33+09.56, VLBI 1323-527                 , Quasar                        ,   201.7262,   -52.9360
PCCS2 143 G309.51+19.42, Centaurus A                   , Radio Galaxy                  ,   201.3625,   -43.0080
PCCS2 143 G313.43-18.84, QSO B1610-771                 , Quasar                        ,   244.4314,   -77.2831
PCCS2 143 G315.80-36.52, QSO J2147-7536                , Quasar                        ,   326.7820,   -75.6054
PCCS2 143 G316.49+21.14, TGU H1970 P1                  , Dark Cloud (nebula)           ,   209.4380,   -39.9739
PCCS2 143 G320.02+48.37, QSO B1334-127                 , Quasar                        ,   204.4172,   -12.9568
PCCS2 143 G320.18-62.12, QSO B2355-534                 , Quasar                        ,   359.4862,   -53.1729
PCCS2 143 G321.30-40.64, ESO 75-41                     , Seyfert 1 Galaxy              ,   329.2963,   -69.6955
PCCS2 143 G321.36+56.24, QSO J1332-0509                , Quasar                        ,   203.0193,    -5.1615
PCCS2 143 G321.43+17.26, QSO B1424-41                  , Quasar                        ,   216.9736,   -42.1097
PCCS2 143 G325.18+25.59, ICRF J142741.3-330531         , BL Lac - type object          ,   216.9185,   -33.0876
PCCS2 143 G326.97-05.90, 3FGL J1617.4-5846             , Active Galaxy Nucleus         ,   244.3258,   -58.7994
PCCS2 143 G328.13-12.43, ICRF J170336.5-621240         , BL Lac - type object          ,   255.9338,   -62.2023
PCCS2 143 G328.22+18.96, ICRF J145427.4-374733         , Seyfert 1 Galaxy              ,   223.6069,   -37.7945
PCCS2 143 G335.72-64.05, QSO B2326-477                 , Quasar                        ,   352.3229,   -47.5055
PCCS2 143 G340.68+27.57, QSO B1514-24                  , BL Lac - type object          ,   229.4329,   -24.3717
PCCS2 143 G347.47-12.47, ICRF J180957.8-455241         , BL Lac - type object          ,   272.5047,   -45.8789
PCCS2 143 G351.27+40.12, QSO J1512-0906 = QSO B1510-089, Blazar                        ,   228.2130,    -9.1171
PCCS2 143 G352.45-08.41, ICRF J180242.6-394007         , Blazar                        ,   270.6636,   -39.6610
PCCS2 143 G352.59-40.37, QSO B2052-474                 , Quasar                        ,   314.0524,   -47.2420
