UHA_ID,HII_ID,RA_deg,Dec_deg,RA_J2000,Dec_J2000,r_kpc,Z_Z94,Z_PP04,sigma_Z,Source,Reference
NGC4258::HII_b34::RA184.83187_DEC47.18072::ICRS2000,b34,184.83187,47.18072,12:19:19.65,+47:10:50.6,17.61,8.67,8.45,0.03,B11_new,Yuan et al. 2022 ApJ 940 21
NGC4258::HII_b22::RA184.73733_DEC47.22869::ICRS2000,b22,184.73733,47.22869,12:18:56.96,+47:13:43.3,17.79,8.94,8.71,0.05,B11,Yuan et al. 2022 ApJ 940 21
NGC4258::HII_n29::RA184.83392_DEC47.17906::ICRS2000,n29,184.83392,47.17906,12:19:20.14,+47:10:44.6,17.85,8.81,8.58,0.08,new,Yuan et al. 2022 ApJ 940 21
NGC4258::HII_n1::RA184.64927_DEC47.32124::ICRS2000,n1,184.64927,47.32124,12:18:35.83,+47:19:16.5,18.94,8.73,8.51,0.06,new,Yuan et al. 2022 ApJ 940 21
NGC4258::HII_b35::RA184.79721_DEC47.17956::ICRS2000,b35,184.79721,47.17956,12:19:11.33,+47:10:46.4,19.71,8.74,8.52,0.05,B11,Yuan et al. 2022 ApJ 940 21
NGC4258::HII_b36::RA184.83121_DEC47.16556::ICRS2000,b36,184.83121,47.16556,12:19:19.49,+47:09:56.0,19.97,8.37,8.22,0.05,B11,Yuan et al. 2022 ApJ 940 21
NGC4258::HII_n26::RA184.63013_DEC47.33662::ICRS2000,n26,184.63013,47.33662,12:18:31.23,+47:20:11.8,21.15,8.89,8.66,0.08,new,Yuan et al. 2022 ApJ 940 21
NGC4258::HII_b30::RA184.75992_DEC47.19464::ICRS2000,b30,184.75992,47.19464,12:19:02.38,+47:11:40.7,21.55,8.41,8.24,0.04,B11_new,Yuan et al. 2022 ApJ 940 21
NGC4258::HII_n7::RA184.61146_DEC47.35218::ICRS2000,n7,184.61146,47.35218,12:18:26.75,+47:21:07.8,23.36,8.94,8.71,0.06,new,Yuan et al. 2022 ApJ 940 21
NGC4258::HII_n5::RA184.62029_DEC47.32604::ICRS2000,n5,184.62029,47.32604,12:18:28.87,+47:19:33.7,25.13,8.71,8.49,0.08,new,Yuan et al. 2022 ApJ 940 21
